Second,Volt,Volt2,
-4.20000e-03,-1.84e+00,1.81e-01, 
-4.18000e-03,-1.84e+00,1.77e-01, 
-4.16000e-03,-1.84e+00,1.80e-01, 
-4.14000e-03,-1.76e+00,1.77e-01, 
-4.12000e-03,-1.76e+00,1.76e-01, 
-4.10000e-03,-1.84e+00,1.81e-01, 
-4.08000e-03,-1.76e+00,1.78e-01, 
-4.06000e-03,-1.76e+00,1.81e-01, 
-4.04000e-03,-1.76e+00,1.80e-01, 
-4.02000e-03,-1.68e+00,1.77e-01, 
-4.00000e-03,-1.68e+00,1.79e-01, 
-3.98000e-03,-1.68e+00,1.77e-01, 
-3.96000e-03,-1.68e+00,1.79e-01, 
-3.94000e-03,-1.60e+00,1.76e-01, 
-3.92000e-03,-1.60e+00,1.76e-01, 
-3.90000e-03,-1.60e+00,1.78e-01, 
-3.88000e-03,-1.60e+00,1.77e-01, 
-3.86000e-03,-1.52e+00,1.76e-01, 
-3.84000e-03,-1.52e+00,1.76e-01, 
-3.82000e-03,-1.60e+00,1.73e-01, 
-3.80000e-03,-1.52e+00,1.72e-01, 
-3.78000e-03,-1.44e+00,1.77e-01, 
-3.76000e-03,-1.52e+00,1.75e-01, 
-3.74000e-03,-1.52e+00,1.71e-01, 
-3.72000e-03,-1.52e+00,1.73e-01, 
-3.70000e-03,-1.44e+00,1.71e-01, 
-3.68000e-03,-1.52e+00,1.72e-01, 
-3.66000e-03,-1.44e+00,1.70e-01, 
-3.64000e-03,-1.44e+00,1.69e-01, 
-3.62000e-03,-1.36e+00,1.71e-01, 
-3.60000e-03,-1.36e+00,1.72e-01, 
-3.58000e-03,-1.44e+00,1.68e-01, 
-3.56000e-03,-1.36e+00,1.69e-01, 
-3.54000e-03,-1.28e+00,1.66e-01, 
-3.52000e-03,-1.36e+00,1.67e-01, 
-3.50000e-03,-1.28e+00,1.70e-01, 
-3.48000e-03,-1.28e+00,1.70e-01, 
-3.46000e-03,-1.20e+00,1.67e-01, 
-3.44000e-03,-1.28e+00,1.69e-01, 
-3.42000e-03,-1.20e+00,1.66e-01, 
-3.40000e-03,-1.20e+00,1.66e-01, 
-3.38000e-03,-1.20e+00,1.69e-01, 
-3.36000e-03,-1.20e+00,1.66e-01, 
-3.34000e-03,-1.20e+00,1.69e-01, 
-3.32000e-03,-1.20e+00,1.66e-01, 
-3.30000e-03,-1.12e+00,1.69e-01, 
-3.28000e-03,-1.20e+00,1.66e-01, 
-3.26000e-03,-1.12e+00,1.69e-01, 
-3.24000e-03,-1.20e+00,1.66e-01, 
-3.22000e-03,-1.04e+00,1.69e-01, 
-3.20000e-03,-1.12e+00,1.70e-01, 
-3.18000e-03,-1.04e+00,1.66e-01, 
-3.16000e-03,-1.12e+00,1.67e-01, 
-3.14000e-03,-9.60e-01,1.69e-01, 
-3.12000e-03,-1.04e+00,1.69e-01, 
-3.10000e-03,-9.60e-01,1.71e-01, 
-3.08000e-03,-9.60e-01,1.72e-01, 
-3.06000e-03,-9.60e-01,1.68e-01, 
-3.04000e-03,-9.60e-01,1.72e-01, 
-3.02000e-03,-9.60e-01,1.69e-01, 
-3.00000e-03,-9.60e-01,1.69e-01, 
-2.98000e-03,-9.60e-01,1.72e-01, 
-2.96000e-03,-9.60e-01,1.74e-01, 
-2.94000e-03,-8.80e-01,1.70e-01, 
-2.92000e-03,-9.60e-01,1.70e-01, 
-2.90000e-03,-8.00e-01,1.74e-01, 
