Second,Volt,Volt2,
-9.32000e-04,1.32e+00,1.90e-01, 
-9.28000e-04,1.30e+00,1.91e-01, 
-9.24000e-04,1.34e+00,1.88e-01, 
-9.20000e-04,1.28e+00,1.89e-01, 
-9.16000e-04,1.34e+00,1.84e-01, 
-9.12000e-04,1.34e+00,1.84e-01, 
-9.08000e-04,1.32e+00,1.80e-01, 
-9.04000e-04,1.34e+00,1.81e-01, 
-9.00000e-04,1.34e+00,1.76e-01, 
-8.96000e-04,1.32e+00,1.74e-01, 
-8.92000e-04,1.34e+00,1.78e-01, 
-8.88000e-04,1.34e+00,1.72e-01, 
-8.84000e-04,1.36e+00,1.76e-01, 
-8.80000e-04,1.36e+00,1.72e-01, 
-8.76000e-04,1.34e+00,1.76e-01, 
-8.72000e-04,1.34e+00,1.74e-01, 
-8.68000e-04,1.38e+00,1.77e-01, 
-8.64000e-04,1.36e+00,1.79e-01, 
-8.60000e-04,1.34e+00,1.83e-01, 
-8.56000e-04,1.36e+00,1.82e-01, 
-8.52000e-04,1.40e+00,1.86e-01, 
-8.48000e-04,1.36e+00,1.84e-01, 
-8.44000e-04,1.40e+00,1.89e-01, 
-8.40000e-04,1.40e+00,1.89e-01, 
-8.36000e-04,1.36e+00,1.91e-01, 
-8.32000e-04,1.38e+00,1.92e-01, 
-8.28000e-04,1.42e+00,1.90e-01, 
-8.24000e-04,1.38e+00,1.92e-01, 
-8.20000e-04,1.42e+00,1.88e-01, 
-8.16000e-04,1.42e+00,1.89e-01, 
-8.12000e-04,1.38e+00,1.86e-01, 
-8.08000e-04,1.42e+00,1.88e-01, 
-8.04000e-04,1.38e+00,1.84e-01, 
-8.00000e-04,1.42e+00,1.83e-01, 
-7.96000e-04,1.40e+00,1.80e-01, 
-7.92000e-04,1.42e+00,1.80e-01, 
-7.88000e-04,1.44e+00,1.76e-01, 
-7.84000e-04,1.42e+00,1.76e-01, 
-7.80000e-04,1.44e+00,1.72e-01, 
-7.76000e-04,1.40e+00,1.76e-01, 
-7.72000e-04,1.44e+00,1.73e-01, 
-7.68000e-04,1.44e+00,1.73e-01, 
-7.64000e-04,1.42e+00,1.77e-01, 
-7.60000e-04,1.44e+00,1.79e-01, 
-7.56000e-04,1.46e+00,1.76e-01, 
-7.52000e-04,1.44e+00,1.79e-01, 
-7.48000e-04,1.48e+00,1.82e-01, 
-7.44000e-04,1.48e+00,1.82e-01, 
-7.40000e-04,1.44e+00,1.87e-01, 
-7.36000e-04,1.44e+00,1.86e-01, 
-7.32000e-04,1.48e+00,1.90e-01, 
-7.28000e-04,1.42e+00,1.89e-01, 
-7.24000e-04,1.48e+00,1.93e-01, 
-7.20000e-04,1.48e+00,1.89e-01, 
