Second,Volt,Volt2,
-1.98160e-04,-4.40e-01,1.72e-01, 
-1.97960e-04,-4.60e-01,1.71e-01, 
-1.97760e-04,-4.20e-01,1.71e-01, 
-1.97560e-04,-4.80e-01,1.69e-01, 
-1.97360e-04,-4.60e-01,1.69e-01, 
-1.97160e-04,-4.20e-01,1.68e-01, 
-1.96960e-04,-4.20e-01,1.68e-01, 
-1.96760e-04,-4.60e-01,1.70e-01, 
-1.96560e-04,-4.20e-01,1.69e-01, 
-1.96360e-04,-4.60e-01,1.70e-01, 
-1.96160e-04,-4.40e-01,1.70e-01, 
-1.95960e-04,-4.00e-01,1.71e-01, 
-1.95760e-04,-4.40e-01,1.71e-01, 
-1.95560e-04,-4.00e-01,1.72e-01, 
-1.95360e-04,-4.40e-01,1.71e-01, 
-1.95160e-04,-4.00e-01,1.74e-01, 
-1.94960e-04,-4.20e-01,1.73e-01, 
-1.94760e-04,-4.40e-01,1.71e-01, 
-1.94560e-04,-4.20e-01,1.72e-01, 
-1.94360e-04,-4.00e-01,1.71e-01, 
-1.94160e-04,-4.00e-01,1.70e-01, 
-1.93960e-04,-4.40e-01,1.72e-01, 
-1.93760e-04,-4.20e-01,1.71e-01, 
-1.93560e-04,-4.00e-01,1.72e-01, 
-1.93360e-04,-4.00e-01,1.71e-01, 
-1.93160e-04,-4.40e-01,1.73e-01, 
-1.92960e-04,-4.20e-01,1.72e-01, 
-1.92760e-04,-3.80e-01,1.71e-01, 
-1.92560e-04,-4.20e-01,1.72e-01, 
-1.92360e-04,-4.00e-01,1.73e-01, 
-1.92160e-04,-4.00e-01,1.73e-01, 
-1.91960e-04,-4.00e-01,1.72e-01, 
-1.91760e-04,-4.00e-01,1.72e-01, 
-1.91560e-04,-4.20e-01,1.73e-01, 
-1.91360e-04,-4.00e-01,1.73e-01, 
-1.91160e-04,-4.00e-01,1.72e-01, 
-1.90960e-04,-4.00e-01,1.72e-01, 
-1.90760e-04,-3.80e-01,1.74e-01, 
-1.90560e-04,-3.80e-01,1.75e-01, 
-1.90360e-04,-4.00e-01,1.73e-01, 
-1.90160e-04,-4.00e-01,1.74e-01, 
-1.89960e-04,-3.80e-01,1.75e-01, 
-1.89760e-04,-4.00e-01,1.74e-01, 
-1.89560e-04,-3.60e-01,1.75e-01, 
-1.89360e-04,-4.20e-01,1.75e-01, 
-1.89160e-04,-3.60e-01,1.74e-01, 
-1.88960e-04,-3.60e-01,1.74e-01, 
-1.88760e-04,-4.00e-01,1.76e-01, 
-1.88560e-04,-4.00e-01,1.76e-01, 
-1.88360e-04,-3.60e-01,1.75e-01, 
-1.88160e-04,-4.00e-01,1.75e-01, 
-1.87960e-04,-3.40e-01,1.74e-01, 
-1.87760e-04,-4.00e-01,1.74e-01, 
-1.87560e-04,-3.40e-01,1.74e-01, 
-1.87360e-04,-3.80e-01,1.74e-01, 
-1.87160e-04,-3.40e-01,1.76e-01, 
-1.86960e-04,-3.40e-01,1.75e-01, 
-1.86760e-04,-3.80e-01,1.74e-01, 
-1.86560e-04,-3.40e-01,1.74e-01, 
-1.86360e-04,-3.80e-01,1.75e-01, 
-1.86160e-04,-3.40e-01,1.75e-01, 
-1.85960e-04,-3.60e-01,1.73e-01, 
-1.85760e-04,-3.40e-01,1.74e-01, 
-1.85560e-04,-3.80e-01,1.73e-01, 
-1.85360e-04,-3.60e-01,1.73e-01, 
-1.85160e-04,-3.40e-01,1.72e-01, 
-1.84960e-04,-3.40e-01,1.73e-01, 
-1.84760e-04,-3.80e-01,1.74e-01, 
-1.84560e-04,-3.40e-01,1.73e-01, 
-1.84360e-04,-3.60e-01,1.75e-01, 
-1.84160e-04,-3.60e-01,1.74e-01, 
-1.83960e-04,-3.20e-01,1.75e-01, 
-1.83760e-04,-3.60e-01,1.76e-01, 
-1.83560e-04,-3.20e-01,1.74e-01, 
-1.83360e-04,-3.40e-01,1.73e-01, 
-1.83160e-04,-3.20e-01,1.74e-01, 
-1.82960e-04,-3.40e-01,1.75e-01, 
-1.82760e-04,-3.20e-01,1.76e-01, 
-1.82560e-04,-3.40e-01,1.77e-01, 
-1.82360e-04,-3.20e-01,1.76e-01, 
-1.82160e-04,-3.00e-01,1.76e-01, 
-1.81960e-04,-3.60e-01,1.77e-01, 
-1.81760e-04,-3.40e-01,1.77e-01, 
-1.81560e-04,-2.80e-01,1.76e-01, 
-1.81360e-04,-3.40e-01,1.77e-01, 
-1.81160e-04,-3.20e-01,1.76e-01, 
-1.80960e-04,-3.40e-01,1.75e-01, 
-1.80760e-04,-2.80e-01,1.76e-01, 
-1.80560e-04,-3.00e-01,1.75e-01, 
-1.80360e-04,-3.40e-01,1.77e-01, 
-1.80160e-04,-3.00e-01,1.75e-01, 
-1.79960e-04,-3.40e-01,1.76e-01, 
-1.79760e-04,-3.40e-01,1.76e-01, 
-1.79560e-04,-3.00e-01,1.77e-01, 
-1.79360e-04,-3.20e-01,1.77e-01, 
-1.79160e-04,-3.00e-01,1.75e-01, 
-1.78960e-04,-3.20e-01,1.75e-01, 
-1.78760e-04,-2.80e-01,1.75e-01, 
-1.78560e-04,-2.80e-01,1.75e-01, 
-1.78360e-04,-3.40e-01,1.76e-01, 
-1.78160e-04,-2.80e-01,1.76e-01, 
-1.77960e-04,-3.40e-01,1.77e-01, 
-1.77760e-04,-2.80e-01,1.76e-01, 
-1.77560e-04,-3.20e-01,1.78e-01, 
-1.77360e-04,-2.60e-01,1.77e-01, 
-1.77160e-04,-3.20e-01,1.77e-01, 
-1.76960e-04,-3.00e-01,1.77e-01, 
-1.76760e-04,-2.60e-01,1.78e-01, 
-1.76560e-04,-2.80e-01,1.79e-01, 
-1.76360e-04,-3.00e-01,1.78e-01, 
-1.76160e-04,-2.60e-01,1.78e-01, 
-1.75960e-04,-3.20e-01,1.76e-01, 
-1.75760e-04,-2.60e-01,1.78e-01, 
-1.75560e-04,-3.00e-01,1.76e-01, 
-1.75360e-04,-3.00e-01,1.76e-01, 
-1.75160e-04,-2.60e-01,1.77e-01, 
-1.74960e-04,-3.00e-01,1.77e-01, 
-1.74760e-04,-2.60e-01,1.75e-01, 
-1.74560e-04,-2.40e-01,1.75e-01, 
-1.74360e-04,-3.00e-01,1.76e-01, 
-1.74160e-04,-2.60e-01,1.76e-01, 
-1.73960e-04,-2.80e-01,1.74e-01, 
-1.73760e-04,-2.80e-01,1.76e-01, 
-1.73560e-04,-2.60e-01,1.75e-01, 
-1.73360e-04,-2.60e-01,1.74e-01, 
-1.73160e-04,-2.40e-01,1.75e-01, 
-1.72960e-04,-2.60e-01,1.74e-01, 
-1.72760e-04,-2.60e-01,1.75e-01, 
