,CH1,CH3
Second,Volt,Volt
-5.72800e-05,2.00e-01,1.74e-01, 
-5.71800e-05,1.60e-01,1.73e-01, 
-5.70800e-05,1.80e-01,1.74e-01, 
-5.69800e-05,2.00e-01,1.72e-01, 
-5.68800e-05,1.80e-01,1.73e-01, 
-5.67800e-05,2.00e-01,1.74e-01, 
-5.66800e-05,1.60e-01,1.74e-01, 
-5.65800e-05,2.20e-01,1.72e-01, 
-5.64800e-05,1.80e-01,1.73e-01, 
-5.63800e-05,2.40e-01,1.73e-01, 
-5.62800e-05,2.20e-01,1.74e-01, 
-5.61800e-05,1.80e-01,1.73e-01, 
-5.60800e-05,1.80e-01,1.73e-01, 
-5.59800e-05,2.40e-01,1.75e-01, 
-5.58800e-05,2.40e-01,1.75e-01, 
-5.57800e-05,1.80e-01,1.74e-01, 
-5.56800e-05,2.40e-01,1.75e-01, 
-5.55800e-05,1.80e-01,1.74e-01, 
-5.54800e-05,2.00e-01,1.74e-01, 
-5.53800e-05,2.40e-01,1.73e-01, 
-5.52800e-05,2.00e-01,1.72e-01, 
-5.51800e-05,2.40e-01,1.74e-01, 
-5.50800e-05,2.20e-01,1.74e-01, 
-5.49800e-05,2.40e-01,1.73e-01, 
-5.48800e-05,2.40e-01,1.73e-01, 
-5.47800e-05,2.00e-01,1.74e-01, 
-5.46800e-05,2.40e-01,1.74e-01, 
-5.45800e-05,2.00e-01,1.75e-01, 
-5.44800e-05,2.00e-01,1.75e-01, 
-5.43800e-05,2.60e-01,1.74e-01, 
-5.42800e-05,2.20e-01,1.74e-01, 
-5.41800e-05,2.40e-01,1.75e-01, 
-5.40800e-05,2.40e-01,1.74e-01, 
-5.39800e-05,2.60e-01,1.75e-01, 
-5.38800e-05,2.40e-01,1.75e-01, 
-5.37800e-05,2.20e-01,1.76e-01, 
-5.36800e-05,2.40e-01,1.75e-01, 
-5.35800e-05,2.20e-01,1.74e-01, 
-5.34800e-05,2.60e-01,1.75e-01, 
-5.33800e-05,2.40e-01,1.74e-01, 
-5.32800e-05,2.20e-01,1.74e-01, 
-5.31800e-05,2.80e-01,1.73e-01, 
-5.30800e-05,2.40e-01,1.74e-01, 
-5.29800e-05,2.60e-01,1.73e-01, 
-5.28800e-05,2.40e-01,1.73e-01, 
-5.27800e-05,2.80e-01,1.74e-01, 
-5.26800e-05,2.40e-01,1.74e-01, 
-5.25800e-05,2.80e-01,1.73e-01, 
-5.24800e-05,2.40e-01,1.73e-01, 
-5.23800e-05,3.00e-01,1.73e-01, 
-5.22800e-05,2.40e-01,1.73e-01, 
-5.21800e-05,2.80e-01,1.72e-01, 
-5.20800e-05,2.40e-01,1.72e-01, 
-5.19800e-05,2.80e-01,1.73e-01, 
-5.18800e-05,2.60e-01,1.73e-01, 
-5.17800e-05,2.40e-01,1.73e-01, 
-5.16800e-05,2.40e-01,1.73e-01, 
-5.15800e-05,3.00e-01,1.73e-01, 
-5.14800e-05,3.00e-01,1.74e-01, 
-5.13800e-05,2.40e-01,1.73e-01, 
