,CH1,CH3
Second,Volt,Volt
-9.90800e-05,-4.60e-01,1.71e-01, 
-9.89800e-05,-4.40e-01,1.72e-01, 
-9.88800e-05,-4.60e-01,1.73e-01, 
-9.87800e-05,-4.20e-01,1.73e-01, 
-9.86800e-05,-4.60e-01,1.74e-01, 
-9.85800e-05,-4.20e-01,1.73e-01, 
-9.84800e-05,-4.60e-01,1.74e-01, 
-9.83800e-05,-4.20e-01,1.73e-01, 
-9.82800e-05,-4.60e-01,1.73e-01, 
-9.81800e-05,-4.20e-01,1.74e-01, 
-9.80800e-05,-4.20e-01,1.73e-01, 
-9.79800e-05,-4.60e-01,1.72e-01, 
-9.78800e-05,-4.60e-01,1.73e-01, 
-9.77800e-05,-4.00e-01,1.72e-01, 
-9.76800e-05,-4.40e-01,1.72e-01, 
-9.75800e-05,-4.20e-01,1.73e-01, 
-9.74800e-05,-4.20e-01,1.72e-01, 
-9.73800e-05,-4.00e-01,1.73e-01, 
-9.72800e-05,-4.00e-01,1.73e-01, 
-9.71800e-05,-4.40e-01,1.75e-01, 
-9.70800e-05,-4.00e-01,1.74e-01, 
-9.69800e-05,-4.40e-01,1.75e-01, 
-9.68800e-05,-4.20e-01,1.75e-01, 
-9.67800e-05,-4.00e-01,1.75e-01, 
-9.66800e-05,-4.00e-01,1.75e-01, 
-9.65800e-05,-4.20e-01,1.74e-01, 
-9.64800e-05,-4.00e-01,1.74e-01, 
-9.63800e-05,-4.20e-01,1.73e-01, 
-9.62800e-05,-4.20e-01,1.72e-01, 
-9.61800e-05,-4.00e-01,1.73e-01, 
-9.60800e-05,-4.20e-01,1.73e-01, 
-9.59800e-05,-4.00e-01,1.72e-01, 
-9.58800e-05,-4.20e-01,1.73e-01, 
-9.57800e-05,-3.80e-01,1.72e-01, 
-9.56800e-05,-4.00e-01,1.73e-01, 
-9.55800e-05,-4.20e-01,1.72e-01, 
-9.54800e-05,-3.80e-01,1.72e-01, 
-9.53800e-05,-4.00e-01,1.73e-01, 
-9.52800e-05,-4.00e-01,1.74e-01, 
-9.51800e-05,-3.80e-01,1.73e-01, 
-9.50800e-05,-4.00e-01,1.74e-01, 
-9.49800e-05,-3.80e-01,1.73e-01, 
-9.48800e-05,-4.00e-01,1.73e-01, 
-9.47800e-05,-3.60e-01,1.72e-01, 
-9.46800e-05,-4.00e-01,1.73e-01, 
-9.45800e-05,-3.80e-01,1.74e-01, 
-9.44800e-05,-4.00e-01,1.74e-01, 
-9.43800e-05,-3.40e-01,1.75e-01, 
-9.42800e-05,-4.00e-01,1.75e-01, 
-9.41800e-05,-3.60e-01,1.74e-01, 
-9.40800e-05,-3.60e-01,1.75e-01, 
-9.39800e-05,-4.20e-01,1.74e-01, 
-9.38800e-05,-3.60e-01,1.74e-01, 
-9.37800e-05,-4.00e-01,1.74e-01, 
-9.36800e-05,-3.80e-01,1.73e-01, 
-9.35800e-05,-3.60e-01,1.74e-01, 
-9.34800e-05,-3.80e-01,1.73e-01, 
-9.33800e-05,-3.40e-01,1.74e-01, 
-9.32800e-05,-3.80e-01,1.75e-01, 
-9.31800e-05,-3.40e-01,1.73e-01, 
-9.30800e-05,-3.80e-01,1.74e-01, 
-9.29800e-05,-3.40e-01,1.73e-01, 
-9.28800e-05,-3.40e-01,1.73e-01, 
-9.27800e-05,-3.60e-01,1.73e-01, 
-9.26800e-05,-3.40e-01,1.73e-01, 
-9.25800e-05,-3.60e-01,1.74e-01, 
-9.24800e-05,-3.40e-01,1.74e-01, 
-9.23800e-05,-3.60e-01,1.73e-01, 
-9.22800e-05,-3.40e-01,1.74e-01, 
-9.21800e-05,-3.60e-01,1.72e-01, 
-9.20800e-05,-3.60e-01,1.73e-01, 
-9.19800e-05,-3.20e-01,1.72e-01, 
-9.18800e-05,-3.40e-01,1.73e-01, 
-9.17800e-05,-3.60e-01,1.74e-01, 
-9.16800e-05,-3.40e-01,1.74e-01, 
-9.15800e-05,-3.20e-01,1.74e-01, 
-9.14800e-05,-3.40e-01,1.74e-01, 
-9.13800e-05,-3.20e-01,1.74e-01, 
-9.12800e-05,-3.40e-01,1.74e-01, 
-9.11800e-05,-3.00e-01,1.73e-01, 
-9.10800e-05,-3.40e-01,1.72e-01, 
-9.09800e-05,-3.00e-01,1.75e-01, 
-9.08800e-05,-3.40e-01,1.74e-01, 
-9.07800e-05,-3.00e-01,1.75e-01, 
-9.06800e-05,-3.00e-01,1.76e-01, 
-9.05800e-05,-3.40e-01,1.74e-01, 
-9.04800e-05,-3.40e-01,1.75e-01, 
-9.03800e-05,-3.00e-01,1.76e-01, 
-9.02800e-05,-3.00e-01,1.76e-01, 
-9.01800e-05,-3.40e-01,1.75e-01, 
-9.00800e-05,-3.40e-01,1.76e-01, 
-8.99800e-05,-3.00e-01,1.75e-01, 
-8.98800e-05,-3.40e-01,1.76e-01, 
-8.97800e-05,-3.00e-01,1.75e-01, 
-8.96800e-05,-3.20e-01,1.75e-01, 
-8.95800e-05,-2.80e-01,1.76e-01, 
-8.94800e-05,-2.80e-01,1.75e-01, 
-8.93800e-05,-3.40e-01,1.74e-01, 
-8.92800e-05,-3.20e-01,1.75e-01, 
-8.91800e-05,-2.80e-01,1.74e-01, 
-8.90800e-05,-3.20e-01,1.75e-01, 
-8.89800e-05,-2.60e-01,1.74e-01, 
-8.88800e-05,-2.80e-01,1.74e-01, 
-8.87800e-05,-3.20e-01,1.74e-01, 
-8.86800e-05,-2.60e-01,1.74e-01, 
-8.85800e-05,-3.00e-01,1.75e-01, 
-8.84800e-05,-3.00e-01,1.75e-01, 
-8.83800e-05,-2.60e-01,1.74e-01, 
-8.82800e-05,-2.80e-01,1.74e-01, 
-8.81800e-05,-2.60e-01,1.75e-01, 
-8.80800e-05,-3.00e-01,1.75e-01, 
-8.79800e-05,-2.60e-01,1.74e-01, 
-8.78800e-05,-2.60e-01,1.74e-01, 
-8.77800e-05,-3.00e-01,1.75e-01, 
-8.76800e-05,-2.60e-01,1.74e-01, 
-8.75800e-05,-2.80e-01,1.75e-01, 
-8.74800e-05,-2.60e-01,1.74e-01, 
-8.73800e-05,-2.80e-01,1.75e-01, 
-8.72800e-05,-2.60e-01,1.75e-01, 
-8.71800e-05,-2.80e-01,1.73e-01, 
-8.70800e-05,-2.40e-01,1.73e-01, 
-8.69800e-05,-2.80e-01,1.74e-01, 
-8.68800e-05,-2.60e-01,1.74e-01, 
-8.67800e-05,-2.60e-01,1.73e-01, 
-8.66800e-05,-2.80e-01,1.74e-01, 
-8.65800e-05,-2.40e-01,1.75e-01, 
-8.64800e-05,-2.60e-01,1.75e-01, 
-8.63800e-05,-2.40e-01,1.74e-01, 
-8.62800e-05,-2.60e-01,1.73e-01, 
-8.61800e-05,-2.40e-01,1.74e-01, 
-8.60800e-05,-2.40e-01,1.73e-01, 
-8.59800e-05,-2.60e-01,1.74e-01, 
-8.58800e-05,-2.20e-01,1.74e-01, 
-8.57800e-05,-2.60e-01,1.75e-01, 
-8.56800e-05,-2.20e-01,1.73e-01, 
-8.55800e-05,-2.60e-01,1.74e-01, 
-8.54800e-05,-2.60e-01,1.75e-01, 
-8.53800e-05,-2.20e-01,1.74e-01, 
-8.52800e-05,-2.60e-01,1.74e-01, 
-8.51800e-05,-2.20e-01,1.74e-01, 
-8.50800e-05,-2.20e-01,1.74e-01, 
-8.49800e-05,-2.60e-01,1.75e-01, 
-8.48800e-05,-2.20e-01,1.74e-01, 
-8.47800e-05,-2.40e-01,1.75e-01, 
-8.46800e-05,-2.00e-01,1.74e-01, 
-8.45800e-05,-2.40e-01,1.75e-01, 
-8.44800e-05,-2.00e-01,1.75e-01, 
-8.43800e-05,-2.40e-01,1.74e-01, 
-8.42800e-05,-2.00e-01,1.73e-01, 
-8.41800e-05,-2.40e-01,1.74e-01, 
-8.40800e-05,-1.80e-01,1.73e-01, 
-8.39800e-05,-2.20e-01,1.74e-01, 
-8.38800e-05,-2.00e-01,1.73e-01, 
