Freq,,Amp,,
                1000,Hz,              -62.55, dBm,
                1165,Hz,              -63.36, dBm,
                1330,Hz,              -69.76, dBm,
                1495,Hz,              -72.77, dBm,
                1660,Hz,              -73.48, dBm,
                1825,Hz,              -66.77, dBm,
                1990,Hz,              -66.05, dBm,
                2155,Hz,              -67.18, dBm,
                2320,Hz,              -70.24, dBm,
                2485,Hz,              -70.22, dBm,
                2650,Hz,              -69.67, dBm,
                2815,Hz,              -69.70, dBm,
                2980,Hz,              -72.43, dBm,
                3145,Hz,              -71.16, dBm,
                3310,Hz,              -70.92, dBm,
                3475,Hz,              -66.69, dBm,
                3640,Hz,              -66.72, dBm,
                3805,Hz,              -71.14, dBm,
                3970,Hz,              -73.32, dBm,
                4135,Hz,              -72.62, dBm,
                4300,Hz,              -72.35, dBm,
                4465,Hz,              -75.00, dBm,
                4630,Hz,              -75.70, dBm,
                4795,Hz,              -72.36, dBm,
                4960,Hz,              -72.06, dBm,
                5125,Hz,              -69.62, dBm,
                5290,Hz,              -68.22, dBm,
                5455,Hz,              -69.47, dBm,
                5620,Hz,              -75.98, dBm,
                5785,Hz,              -75.98, dBm,
                5950,Hz,              -80.16, dBm,
                6115,Hz,              -81.65, dBm,
                6280,Hz,              -72.25, dBm,
                6445,Hz,              -71.19, dBm,
                6610,Hz,              -73.49, dBm,
                6775,Hz,              -70.55, dBm,
                6940,Hz,              -70.33, dBm,
                7105,Hz,              -69.83, dBm,
                7270,Hz,              -69.81, dBm,
                7435,Hz,              -71.65, dBm,
                7600,Hz,              -76.10, dBm,
                7765,Hz,              -74.41, dBm,
                7930,Hz,              -74.57, dBm,
                8095,Hz,              -74.47, dBm,
                8260,Hz,              -72.83, dBm,
                8425,Hz,              -73.84, dBm,
                8590,Hz,              -73.58, dBm,
                8755,Hz,              -73.34, dBm,
                8920,Hz,              -76.44, dBm,
                9085,Hz,              -74.12, dBm,
                9250,Hz,              -73.05, dBm,
                9415,Hz,              -73.53, dBm,
                9580,Hz,              -75.98, dBm,
                9745,Hz,              -75.98, dBm,
                9910,Hz,              -77.50, dBm,
               10075,Hz,              -76.16, dBm,
               10240,Hz,              -76.14, dBm,
               10405,Hz,              -78.86, dBm,
               10570,Hz,              -85.41, dBm,
               10735,Hz,              -83.81, dBm,
               10900,Hz,              -80.16, dBm,
               11065,Hz,              -77.44, dBm,
               11230,Hz,              -76.67, dBm,
               11395,Hz,              -77.25, dBm,
               11560,Hz,              -80.54, dBm,
               11725,Hz,              -79.40, dBm,
               11890,Hz,              -81.93, dBm,
               12055,Hz,              -78.82, dBm,
               12220,Hz,              -73.92, dBm,
               12385,Hz,              -73.09, dBm,
               12550,Hz,              -74.43, dBm,
               12715,Hz,              -77.78, dBm,
               12880,Hz,              -79.55, dBm,
               13045,Hz,              -82.91, dBm,
               13210,Hz,              -77.33, dBm,
