Freq,,Amp,,
                1000,Hz,              -30.64, dBm,
                3665,Hz,              -52.94, dBm,
                6330,Hz,              -56.94, dBm,
                8995,Hz,              -69.28, dBm,
               11660,Hz,              -70.96, dBm,
               14325,Hz,              -74.23, dBm,
               16990,Hz,              -73.73, dBm,
               19655,Hz,              -74.53, dBm,
               22320,Hz,              -75.56, dBm,
               24985,Hz,              -78.15, dBm,
               27650,Hz,              -74.31, dBm,
               30315,Hz,              -76.30, dBm,
               32980,Hz,              -79.47, dBm,
               35645,Hz,              -76.80, dBm,
               38310,Hz,              -77.21, dBm,
               40975,Hz,              -76.53, dBm,
               43640,Hz,              -73.74, dBm,
               46305,Hz,              -71.89, dBm,
               48970,Hz,              -69.40, dBm,
               51635,Hz,              -59.13, dBm,
               54300,Hz,              -65.61, dBm,
               56965,Hz,              -72.39, dBm,
               59630,Hz,              -76.49, dBm,
               62295,Hz,              -70.36, dBm,
               64960,Hz,              -75.75, dBm,
               67625,Hz,              -77.77, dBm,
               70290,Hz,              -75.66, dBm,
               72955,Hz,              -77.42, dBm,
               75620,Hz,              -79.42, dBm,
               78285,Hz,              -76.03, dBm,
               80950,Hz,              -76.17, dBm,
               83615,Hz,              -74.45, dBm,
               86280,Hz,              -80.85, dBm,
               88945,Hz,              -80.53, dBm,
               91610,Hz,              -77.29, dBm,
               94275,Hz,              -77.30, dBm,
               96940,Hz,              -76.28, dBm,
               99605,Hz,              -77.13, dBm,
              102270,Hz,              -75.71, dBm,
              104935,Hz,              -79.00, dBm,
              107600,Hz,              -79.37, dBm,
              110265,Hz,              -78.91, dBm,
              112930,Hz,              -79.62, dBm,
              115595,Hz,              -79.33, dBm,
              118260,Hz,              -80.06, dBm,
              120925,Hz,              -83.44, dBm,
              123590,Hz,              -74.56, dBm,
              126255,Hz,              -74.57, dBm,
              128920,Hz,              -76.55, dBm,
              131585,Hz,              -79.94, dBm,
              134250,Hz,              -78.39, dBm,
              136915,Hz,              -78.43, dBm,
              139580,Hz,              -77.16, dBm,
              142245,Hz,              -77.25, dBm,
              144910,Hz,              -78.72, dBm,
              147575,Hz,              -78.46, dBm,
              150240,Hz,              -78.35, dBm,
              152905,Hz,              -79.95, dBm,
              155570,Hz,              -79.40, dBm,
              158235,Hz,              -79.81, dBm,
              160900,Hz,              -78.01, dBm,
              163565,Hz,              -76.52, dBm,
              166230,Hz,              -78.58, dBm,
              168895,Hz,              -79.98, dBm,
              171560,Hz,              -79.76, dBm,
              174225,Hz,              -80.69, dBm,
              176890,Hz,              -81.04, dBm,
              179555,Hz,              -80.48, dBm,
              182220,Hz,              -82.72, dBm,
              184885,Hz,              -81.84, dBm,
              187550,Hz,              -82.17, dBm,
              190215,Hz,              -80.15, dBm,
              192880,Hz,              -78.09, dBm,
              195545,Hz,              -79.65, dBm,
              198210,Hz,              -82.72, dBm,
              200875,Hz,              -82.59, dBm,
              203540,Hz,              -80.13, dBm,
              206205,Hz,              -79.07, dBm,
              208870,Hz,              -78.24, dBm,
              211535,Hz,              -78.80, dBm,
              214200,Hz,              -78.56, dBm,
              216865,Hz,              -80.78, dBm,
              219530,Hz,              -81.59, dBm,
              222195,Hz,              -79.34, dBm,
              224860,Hz,              -78.68, dBm,
              227525,Hz,              -85.44, dBm,
              230190,Hz,              -84.13, dBm,
              232855,Hz,              -81.42, dBm,
              235520,Hz,              -82.73, dBm,
              238185,Hz,              -86.03, dBm,
              240850,Hz,              -83.23, dBm,
              243515,Hz,              -80.65, dBm,
              246180,Hz,              -77.23, dBm,
              248845,Hz,              -80.84, dBm,
              251510,Hz,              -78.59, dBm,
              254175,Hz,              -79.17, dBm,
              256840,Hz,              -82.99, dBm,
              259505,Hz,              -79.54, dBm,
              262170,Hz,              -81.86, dBm,
              264835,Hz,              -82.71, dBm,
              267500,Hz,              -81.20, dBm,
              270165,Hz,              -79.80, dBm,
              272830,Hz,              -80.19, dBm,
              275495,Hz,              -81.97, dBm,
              278160,Hz,              -80.20, dBm,
              280825,Hz,              -83.70, dBm,
              283490,Hz,              -84.11, dBm,
              286155,Hz,              -86.48, dBm,
              288820,Hz,              -84.67, dBm,
              291485,Hz,              -83.19, dBm,
              294150,Hz,              -79.97, dBm,
              296815,Hz,              -80.28, dBm,
              299480,Hz,              -78.40, dBm,
              302145,Hz,              -78.86, dBm,
              304810,Hz,              -83.28, dBm,
              307475,Hz,              -84.24, dBm,
              310140,Hz,              -80.96, dBm,
