Freq,,Amp,,
                1000,Hz,              -70.60, dBm,
                1165,Hz,              -71.61, dBm,
                1330,Hz,              -76.47, dBm,
                1495,Hz,              -71.71, dBm,
                1660,Hz,              -71.24, dBm,
                1825,Hz,              -71.46, dBm,
                1990,Hz,              -68.06, dBm,
                2155,Hz,              -70.37, dBm,
                2320,Hz,              -69.72, dBm,
                2485,Hz,              -68.32, dBm,
                2650,Hz,              -72.41, dBm,
                2815,Hz,              -72.14, dBm,
                2980,Hz,              -78.42, dBm,
                3145,Hz,              -77.43, dBm,
                3310,Hz,              -74.51, dBm,
                3475,Hz,              -73.67, dBm,
                3640,Hz,              -67.90, dBm,
                3805,Hz,              -66.97, dBm,
                3970,Hz,              -72.18, dBm,
                4135,Hz,              -74.78, dBm,
                4300,Hz,              -73.50, dBm,
                4465,Hz,              -74.35, dBm,
                4630,Hz,              -71.46, dBm,
                4795,Hz,              -73.30, dBm,
                4960,Hz,              -72.82, dBm,
                5125,Hz,              -71.39, dBm,
                5290,Hz,              -72.71, dBm,
                5455,Hz,              -72.97, dBm,
                5620,Hz,              -73.22, dBm,
                5785,Hz,              -72.34, dBm,
                5950,Hz,              -72.95, dBm,
                6115,Hz,              -73.35, dBm,
                6280,Hz,              -72.56, dBm,
                6445,Hz,              -73.32, dBm,
                6610,Hz,              -72.39, dBm,
                6775,Hz,              -72.71, dBm,
                6940,Hz,              -78.42, dBm,
                7105,Hz,              -74.48, dBm,
                7270,Hz,              -73.11, dBm,
                7435,Hz,              -76.61, dBm,
                7600,Hz,              -75.54, dBm,
                7765,Hz,              -74.74, dBm,
                7930,Hz,              -74.93, dBm,
                8095,Hz,              -79.42, dBm,
                8260,Hz,              -75.05, dBm,
                8425,Hz,              -77.36, dBm,
                8590,Hz,              -75.21, dBm,
                8755,Hz,              -75.17, dBm,
                8920,Hz,              -74.99, dBm,
                9085,Hz,              -75.53, dBm,
                9250,Hz,              -79.77, dBm,
                9415,Hz,              -75.03, dBm,
                9580,Hz,              -75.50, dBm,
                9745,Hz,              -78.11, dBm,
                9910,Hz,              -76.65, dBm,
               10075,Hz,              -75.51, dBm,
               10240,Hz,              -75.16, dBm,
               10405,Hz,              -74.27, dBm,
               10570,Hz,              -74.13, dBm,
               10735,Hz,              -80.27, dBm,
               10900,Hz,              -82.26, dBm,
               11065,Hz,              -81.03, dBm,
               11230,Hz,              -78.21, dBm,
               11395,Hz,              -78.11, dBm,
               11560,Hz,              -82.09, dBm,
               11725,Hz,              -77.81, dBm,
               11890,Hz,              -80.41, dBm,
               12055,Hz,              -80.35, dBm,
