Freq,,Amp,,
                1000,Hz,              -72.68, dBm,
                1165,Hz,              -73.19, dBm,
                1330,Hz,              -72.20, dBm,
                1495,Hz,              -74.55, dBm,
                1660,Hz,              -74.84, dBm,
                1825,Hz,              -74.15, dBm,
                1990,Hz,              -69.93, dBm,
                2155,Hz,              -70.32, dBm,
                2320,Hz,              -68.72, dBm,
                2485,Hz,              -72.69, dBm,
                2650,Hz,              -74.29, dBm,
                2815,Hz,              -74.28, dBm,
                2980,Hz,              -72.74, dBm,
                3145,Hz,              -71.52, dBm,
                3310,Hz,              -72.14, dBm,
                3475,Hz,              -74.64, dBm,
                3640,Hz,              -74.46, dBm,
                3805,Hz,              -74.16, dBm,
                3970,Hz,              -73.32, dBm,
                4135,Hz,              -73.04, dBm,
                4300,Hz,              -72.54, dBm,
                4465,Hz,              -72.74, dBm,
                4630,Hz,              -74.40, dBm,
                4795,Hz,              -73.13, dBm,
                4960,Hz,              -72.51, dBm,
                5125,Hz,              -72.10, dBm,
                5290,Hz,              -72.17, dBm,
                5455,Hz,              -70.89, dBm,
                5620,Hz,              -72.61, dBm,
                5785,Hz,              -71.74, dBm,
                5950,Hz,              -73.05, dBm,
                6115,Hz,              -72.19, dBm,
                6280,Hz,              -73.65, dBm,
                6445,Hz,              -74.26, dBm,
                6610,Hz,              -74.39, dBm,
                6775,Hz,              -73.13, dBm,
                6940,Hz,              -73.06, dBm,
                7105,Hz,              -74.48, dBm,
                7270,Hz,              -75.13, dBm,
                7435,Hz,              -73.57, dBm,
                7600,Hz,              -73.19, dBm,
                7765,Hz,              -74.19, dBm,
                7930,Hz,              -76.13, dBm,
                8095,Hz,              -75.79, dBm,
                8260,Hz,              -74.71, dBm,
                8425,Hz,              -74.52, dBm,
                8590,Hz,              -72.07, dBm,
                8755,Hz,              -71.94, dBm,
                8920,Hz,              -80.01, dBm,
                9085,Hz,              -77.13, dBm,
                9250,Hz,              -76.88, dBm,
                9415,Hz,              -77.64, dBm,
                9580,Hz,              -75.72, dBm,
                9745,Hz,              -76.84, dBm,
                9910,Hz,              -76.50, dBm,
               10075,Hz,              -75.94, dBm,
               10240,Hz,              -76.40, dBm,
               10405,Hz,              -77.91, dBm,
               10570,Hz,              -78.62, dBm,
               10735,Hz,              -79.25, dBm,
               10900,Hz,              -77.27, dBm,
               11065,Hz,              -77.97, dBm,
               11230,Hz,              -76.48, dBm,
               11395,Hz,              -82.97, dBm,
               11560,Hz,              -77.71, dBm,
               11725,Hz,              -77.09, dBm,
               11890,Hz,              -78.11, dBm,
               12055,Hz,              -82.27, dBm,
               12220,Hz,              -79.66, dBm,
               12385,Hz,              -79.68, dBm,
               12550,Hz,              -76.91, dBm,
               12715,Hz,              -75.93, dBm,
               12880,Hz,              -77.40, dBm,
               13045,Hz,              -77.40, dBm,
               13210,Hz,              -77.78, dBm,
               13375,Hz,              -76.15, dBm,
               13540,Hz,              -74.17, dBm,
               13705,Hz,              -74.55, dBm,
               13870,Hz,              -73.23, dBm,
               14035,Hz,              -72.98, dBm,
               14200,Hz,              -74.27, dBm,
               14365,Hz,              -80.87, dBm,
               14530,Hz,              -86.76, dBm,
               14695,Hz,              -83.99, dBm,
               14860,Hz,              -83.92, dBm,
               15025,Hz,              -86.81, dBm,
               15190,Hz,              -84.41, dBm,
               15355,Hz,              -79.31, dBm,
               15520,Hz,              -82.84, dBm,
               15685,Hz,              -82.85, dBm,
               15850,Hz,              -82.86, dBm,
               16015,Hz,              -80.77, dBm,
               16180,Hz,              -80.98, dBm,
               16345,Hz,              -84.23, dBm,
               16510,Hz,              -82.46, dBm,
               16675,Hz,              -83.44, dBm,
               16840,Hz,              -85.37, dBm,
               17005,Hz,              -85.72, dBm,
               17170,Hz,              -81.43, dBm,
               17335,Hz,              -80.24, dBm,
               17500,Hz,              -84.05, dBm,
               17665,Hz,              -81.70, dBm,
               17830,Hz,              -82.24, dBm,
               17995,Hz,              -85.42, dBm,
               18160,Hz,              -82.45, dBm,
               18325,Hz,              -82.46, dBm,
               18490,Hz,              -85.48, dBm,
               18655,Hz,              -80.68, dBm,
               18820,Hz,              -80.00, dBm,
               18985,Hz,              -86.73, dBm,
               19150,Hz,              -80.69, dBm,
               19315,Hz,              -78.67, dBm,
               19480,Hz,              -85.63, dBm,
               19645,Hz,              -86.01, dBm,
               19810,Hz,              -82.12, dBm,
               19975,Hz,              -83.58, dBm,
               20140,Hz,              -86.64, dBm,
               20305,Hz,              -84.31, dBm,
               20470,Hz,              -84.29, dBm,
               20635,Hz,              -85.69, dBm,
               20800,Hz,              -87.32, dBm,
               20965,Hz,              -83.16, dBm,
               21130,Hz,              -81.60, dBm,
               21295,Hz,              -83.89, dBm,
               21460,Hz,              -88.44, dBm,
               21625,Hz,              -81.48, dBm,
               21790,Hz,              -81.66, dBm,
               21955,Hz,              -82.40, dBm,
               22120,Hz,              -87.12, dBm,
               22285,Hz,              -83.93, dBm,
               22450,Hz,              -84.24, dBm,
               22615,Hz,              -82.12, dBm,
               22780,Hz,              -82.08, dBm,
               22945,Hz,              -80.23, dBm,
               23110,Hz,              -81.11, dBm,
               23275,Hz,              -86.95, dBm,
               23440,Hz,              -82.99, dBm,
               23605,Hz,              -83.51, dBm,
               23770,Hz,              -83.26, dBm,
               23935,Hz,              -85.24, dBm,
               24100,Hz,              -85.54, dBm,
               24265,Hz,              -87.33, dBm,
               24430,Hz,              -83.99, dBm,
               24595,Hz,              -84.00, dBm,
               24760,Hz,              -84.40, dBm,
               24925,Hz,              -81.64, dBm,
               25090,Hz,              -84.16, dBm,
               25255,Hz,              -85.69, dBm,
               25420,Hz,              -87.49, dBm,
               25585,Hz,              -88.62, dBm,
               25750,Hz,              -82.90, dBm,
               25915,Hz,              -84.44, dBm,
               26080,Hz,              -83.84, dBm,
               26245,Hz,              -84.13, dBm,
               26410,Hz,              -83.75, dBm,
               26575,Hz,              -83.30, dBm,
               26740,Hz,              -86.33, dBm,
               26905,Hz,              -87.14, dBm,
               27070,Hz,              -86.81, dBm,
               27235,Hz,              -84.15, dBm,
               27400,Hz,              -83.37, dBm,
               27565,Hz,              -85.96, dBm,
               27730,Hz,              -84.08, dBm,
               27895,Hz,              -82.02, dBm,
               28060,Hz,              -81.40, dBm,
               28225,Hz,              -84.77, dBm,
               28390,Hz,              -89.28, dBm,
               28555,Hz,              -83.02, dBm,
               28720,Hz,              -83.61, dBm,
               28885,Hz,              -83.56, dBm,
               29050,Hz,              -84.16, dBm,
               29215,Hz,              -87.12, dBm,
               29380,Hz,              -88.61, dBm,
               29545,Hz,              -86.93, dBm,
               29710,Hz,              -83.93, dBm,
               29875,Hz,              -87.11, dBm,
               30040,Hz,              -85.49, dBm,
               30205,Hz,              -85.36, dBm,
               30370,Hz,              -91.43, dBm,
               30535,Hz,              -88.65, dBm,
               30700,Hz,              -80.00, dBm,
               30865,Hz,              -89.52, dBm,
               31030,Hz,              -87.53, dBm,
               31195,Hz,              -85.90, dBm,
               31360,Hz,              -82.62, dBm,
               31525,Hz,              -83.00, dBm,
               31690,Hz,              -84.12, dBm,
               31855,Hz,              -86.65, dBm,
               32020,Hz,              -87.94, dBm,
               32185,Hz,              -84.78, dBm,
               32350,Hz,              -84.61, dBm,
