Second,Volt,Volt2,
-3.83200e-04,-1.28e+00,1.69e-01, 
-3.82800e-04,-1.26e+00,1.68e-01, 
-3.82400e-04,-1.28e+00,1.69e-01, 
-3.82000e-04,-1.26e+00,1.70e-01, 
-3.81600e-04,-1.26e+00,1.69e-01, 
-3.81200e-04,-1.28e+00,1.70e-01, 
-3.80800e-04,-1.24e+00,1.68e-01, 
-3.80400e-04,-1.26e+00,1.69e-01, 
-3.80000e-04,-1.24e+00,1.69e-01, 
-3.79600e-04,-1.28e+00,1.71e-01, 
-3.79200e-04,-1.26e+00,1.70e-01, 
-3.78800e-04,-1.24e+00,1.71e-01, 
-3.78400e-04,-1.26e+00,1.72e-01, 
-3.78000e-04,-1.24e+00,1.71e-01, 
-3.77600e-04,-1.26e+00,1.72e-01, 
-3.77200e-04,-1.22e+00,1.70e-01, 
-3.76800e-04,-1.26e+00,1.71e-01, 
-3.76400e-04,-1.22e+00,1.70e-01, 
-3.76000e-04,-1.22e+00,1.70e-01, 
-3.75600e-04,-1.26e+00,1.72e-01, 
-3.75200e-04,-1.26e+00,1.72e-01, 
-3.74800e-04,-1.22e+00,1.70e-01, 
-3.74400e-04,-1.20e+00,1.69e-01, 
-3.74000e-04,-1.24e+00,1.70e-01, 
-3.73600e-04,-1.20e+00,1.70e-01, 
-3.73200e-04,-1.24e+00,1.71e-01, 
-3.72800e-04,-1.18e+00,1.70e-01, 
-3.72400e-04,-1.24e+00,1.71e-01, 
-3.72000e-04,-1.22e+00,1.71e-01, 
-3.71600e-04,-1.18e+00,1.73e-01, 
-3.71200e-04,-1.22e+00,1.71e-01, 
-3.70800e-04,-1.18e+00,1.73e-01, 
-3.70400e-04,-1.20e+00,1.73e-01, 
-3.70000e-04,-1.18e+00,1.71e-01, 
-3.69600e-04,-1.18e+00,1.71e-01, 
-3.69200e-04,-1.22e+00,1.70e-01, 
-3.68800e-04,-1.18e+00,1.69e-01, 
-3.68400e-04,-1.20e+00,1.70e-01, 
-3.68000e-04,-1.20e+00,1.70e-01, 
-3.67600e-04,-1.18e+00,1.71e-01, 
-3.67200e-04,-1.20e+00,1.72e-01, 
-3.66800e-04,-1.14e+00,1.71e-01, 
-3.66400e-04,-1.20e+00,1.71e-01, 
